word,layer,SI,RS,PSD,SRI
band,4,0.00619165698124996,0.013736497,0.0029708482,0.007633000631080837
band,8,0.0038837541637444795,0.017578041,-0.001748533,0.006571087452193906
band,12,0.0072740416950402564,0.022095852,0.011276745,0.013548879510873487
band,16,0.02026629647362066,0.018856602,0.017102271,0.018741723193883342
band,20,0.024610438893557574,0.021785466,0.02435041,0.023582105073770215
band,24,0.020831554475140124,0.020060873,0.027136372,0.022676266512179227
band,28,0.019221503315092647,0.01960352,0.027144581,0.021989868342121948
band,32,0.007865683239658972,0.033444386,0.027418423,0.022909497553096975
chest,4,0.012681845482130027,0.0130857155,0.013663417,0.013143659227735194
chest,8,0.017209302844566843,0.017819405,0.0062968656,0.013775191029562798
chest,12,0.017601482867496243,0.021786233,0.009037159,0.016141625220344142
chest,16,0.023342764835146024,0.01778714,0.012092199,0.01774070129149058
chest,20,0.027385723366166792,0.022466734,0.009758342,0.019870266491779236
chest,24,0.02585612300793516,0.020355573,0.0061597005,0.01745713212841149
chest,28,0.02043909239975983,0.0210502,0.0024833567,0.014657549670035222
chest,32,0.015835449991741524,0.034377098,0.007081695,0.019098080992075717
racket,4,0.006629048467737764,0.013347113,0.0008122511,0.006929470720742255
racket,8,0.005310893979476428,0.024378264,-0.0006069578,0.009694066826438419
racket,12,0.009758268950547822,0.02986197,-0.0013023894,0.012772616465279144
racket,16,0.02482548496397019,0.027302826,0.0017187838,0.01794903151284218
racket,20,0.044782156601337775,0.032849476,0.0011918517,0.026274494675228393
racket,24,0.05279372786977565,0.033490013,0.003133736,0.02980582576203239
racket,28,0.04999600998950976,0.035467695,0.002416065,0.029293256799025596
racket,32,0.028236702360257826,0.04886687,0.0023774048,0.026493659645333994
seal,4,0.005610013432799599,0.011570256,0.0004334133,0.00587122764935057
seal,8,0.025607520557956842,0.018470684,0.004856728,0.016311644213900616
seal,12,0.022753710513278125,0.022606144,9.074621e-05,0.015150200150067369
seal,16,0.02545636573689225,0.01852099,0.008713331,0.017563562399006694
seal,20,0.031601042226556963,0.019659568,0.007415993,0.01955886766334508
seal,24,0.0278270154244305,0.020198112,0.0022106748,0.016745267528514112
seal,28,0.02634951392787016,0.02245907,0.0034872703,0.01743195117340259
seal,32,0.015095501916883691,0.037337374,0.0030675363,0.01850013737952653
staple,4,0.0002461720628987307,0.014226098,-0.009035655,0.0018122047930442808
staple,8,0.0135091410886794,0.020137036,-0.006698302,0.008982625104869394
staple,12,0.01218985242121251,0.02174219,-0.008346064,0.00852865923601002
staple,16,0.0069380430088266665,0.018780919,0.007108573,0.010942511557069915
staple,20,-0.0007286722523770495,0.018955242,0.011574816,0.009933795198374265
staple,24,-0.0013516658267156423,0.01621576,0.0138501655,0.009571419988381328
staple,28,-0.004559490639244823,0.017478835,0.0125065185,0.00847528757046484
staple,32,-0.023366374833482473,0.03296959,0.012669234,0.0074241496827542885
tank,4,0.0024819132337466354,0.012740447,-0.0011415221,0.004693612779991345
tank,8,0.01238412212209844,0.016545316,0.0041220896,0.0110171759737099
tank,12,0.01164317891495581,0.020691618,0.005025491,0.012453429452237671
tank,16,0.015901817753235403,0.0158554,0.014875393,0.015544203668607573
tank,20,0.015435199920258047,0.017032117,0.019514468,0.01732726137966617
tank,24,0.012657532704360264,0.015652196,0.01571463,0.014674786556921726
tank,28,0.010885312506245082,0.01554921,0.01173931,0.012724610761200886
tank,32,0.011229116751588386,0.031016106,0.020575607,0.02094027657768362
temple,4,0.0002761679379086335,0.012184353,0.0011114217,0.004523980761996264
temple,8,0.007624743297902081,0.016136346,0.010531467,0.011430852356125029
temple,12,0.007735251272210308,0.020700105,0.0036752024,0.010703519393417182
