layer,mean,median,std,min,max
4,0.005841625358002502,0.005282420214670958,0.0033999655411029762,0.001573034223386005,0.013143659227735194
8,0.010329481544565321,0.010309594891806679,0.0032561954532870662,0.004892982705239783,0.016311644213900616
12,0.012313280329392488,0.012836478870211405,0.0027502489668983256,0.007341498855135927,0.016141625220344142
16,0.01504717517182792,0.014992341366925427,0.0031633503664210746,0.009078993454201711,0.018741723193883342
20,0.017089479477869523,0.017166747010277643,0.005587626438484069,0.008827018147402147,0.026274494675228393
24,0.015437834834126151,0.014157468077620278,0.006627874978100506,0.00937961040268546,0.02980582576203239
28,0.014490706740248485,0.01209166148665632,0.006732438472948894,0.008072595072094698,0.029293256799025596
32,0.017579104713326098,0.018799109185801126,0.006213892059494533,0.0074241496827542885,0.026493659645333994
